destinations,Year,Impedance Function,logLik,AIC,BIC,Selected_Function,Year,logLik,AIC,BIC,Selected_Function,Year,logLik,AIC,BIC,Selected_Function,Year,logLik,AIC,BIC,Selected_Function,Year,logLik,AIC,BIC,Selected_Function
Home,2015,Gamma,-411.0203,826.0406,831.3294,Gamma,2010,-428.1577,860.3153,865.7163,Gamma,2005,-626.8166,1257.633,1263.783,Gamma,1998,-250.5472,505.0944,509.3807,Gamma,1992,-296.8031,597.6061,602.0743,Gamma
Home,2015,Weibull,-415.0874,834.1747,839.4635,,2010,,,,,2005,-629.2528,1262.506,1268.656,,1998,,,,,1992,-297.3595,598.719,603.1873,
Home,2015,Exponential,-431.5164,865.0327,867.6771,,2010,-436.2316,874.4631,877.1636,,2005,-636.0847,1274.169,1277.245,,1998,-253.3599,508.7198,510.8629,,1992,-299.3848,600.7697,603.0038,
work or school,2015,Gamma,-255.259,514.518,518.9862,,2010,-215.8628,435.7256,439.7402,Gamma,2005,-292.44,588.88,593.461,Gamma,1998,-140.9976,285.9953,289.106,Gamma,1992,-130.9781,265.9562,269.0669,Gamma
work or school,2015,Weibull,-258.0986,520.1972,524.6654,,2010,-216.6699,437.3397,441.3544,,2005,,,,,1998,-141.7113,287.4225,290.5332,,1992,-131.0569,266.1138,269.2245,
work or school,2015,Exponential,-279.8298,561.6596,563.8937,,2010,-222.4963,446.9927,449,,2005,-296.3841,594.7683,597.0587,,1998,-145.686,293.372,294.9273,,1992,-138.3175,278.6351,280.1904,
work or school,2015,Normal,-264.6643,533.3285,537.7967,,2010,,,,,2005,,,,,1998,-148.7267,301.4534,304.5641,,1992,-134.551,273.1021,276.2128,
work or school,2015,Lognormal,-254.791,513.582,518.0503,,2010,-218.1963,440.3925,444.4072,,2005,,,,,1998,,,,,1992,,,,
Other's home,2015,Gamma,-42.17,88.33999,89.46989,Gamma,2010,-78.5699,161.1398,163.3219,Gamma,2005,-106.6052,217.2104,220.0128,Gamma,1998,-77.65463,159.3093,161.3983,Gamma,1992,-82.31443,168.6289,170.811,Lognormal
Other's home,2015,Poisson,-51.22649,104.453,105.0179,,2010,-131.3297,264.6593,265.7503,,2005,-161.6181,325.2361,326.6373,,1998,,,,,1992,,,,
Other's home,2015,Exponential,-47.86697,97.73394,98.29889,,2010,-81.0372,164.0744,165.1654,,2005,,,,,1998,-78.97286,159.9457,160.9902,,1992,-83.18366,168.3673,169.4584,
Other's home,2015,Normal,-45.40885,94.81771,95.9476,,2010,-84.37237,172.7447,174.9268,,2005,-110.0135,224.0271,226.8295,,1998,-88.36644,180.7329,182.8219,,1992,-91.84538,187.6908,189.8728,
Other's home,2015,Lognormal,,,,,2010,,,,,2005,,,,,1998,-75.86448,155.729,157.818,,1992,-80.21923,164.4385,166.6205,
Outdoors ,2015,Gamma,,,,,2010,-21.27006,46.54013,46.43195,Gamma,2005,-70.26274,144.5255,146.5169,Gamma,1998,,,,,1992,,,,
Outdoors ,2015,Lognormal,,,,,2010,-21.27292,46.54584,46.43766,,2005,-70.63321,145.2664,147.2579,,1998,,,,,1992,,,,
Outdoors ,2015,Normal,,,,,2010,-22.05371,48.10741,47.99923,,2005,-72.76845,149.5369,151.5284,,1998,,,,,1992,,,,
Outdoors ,2015,Poisson,,,,,2010,-25.20582,52.41164,52.35755,,2005,,,,,1998,,,,,1992,,,,
Outdoors ,2015,Exponential,,,,,2010,-22.91518,47.83037,47.77628,,2005,-75.76186,153.5237,154.5194,,1998,,,,,1992,,,,
Outdoors ,2015,Weibull,,,,,2010,,,,,2005,-70.66698,145.334,147.3254,,1998,,,,,1992,,,,
"Grocery store, other stores or mall",2015,Gamma,-1261.073,2526.145,2533.89,Lognormal,2010,-74.31237,152.6247,154.6162,Gamma,2005,-110.0713,224.1426,227.1356,Gamma,1998,,,,,1992,,,,
"Grocery store, other stores or mall",2015,Logistic,-1336.443,2676.886,2684.631,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
"Grocery store, other stores or mall",2015,Lognormal,-1235.045,2474.09,2481.834,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
"Grocery store, other stores or mall",2015,Normal,-1386.801,2777.602,2785.346,,2010,-83.24115,170.4823,172.4738,,2005,,,,,1998,,,,,1992,,,,
"Grocery store, other stores or mall",2015,Exponential,,,,,2010,-76.60536,155.2107,156.2064,,2005,-115.9061,233.8122,235.3087,,1998,,,,,1992,,,,
"Grocery store, other stores or mall",2015,Poisson,,,,,2010,,,,,2005,-154.3314,310.6627,312.1592,,1998,,,,,1992,,,,
"Library, museum or theatre (307)",2015,Gamma,,,,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
"Library, museum or theatre (307)",2015,Weibull,,,,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
"Library, museum or theatre (307)",2015,Lognormal,,,,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
"Library, museum or theatre (307)",2015,Exponential,,,,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
"Restaurant, bar or club",2015,Gamma,-884.4337,1772.867,1779.91,Gamma,2010,,,,,2005,-37.19389,78.38777,78.99294,Normal,1998,,,,,1992,,,,
"Restaurant, bar or club",2015,Normal,-1007.133,2018.267,2025.31,,2010,,,,,2005,-37.07581,78.15162,78.75679,,1998,,,,,1992,,,,
"Restaurant, bar or club",2015,poisson,-1576.023,3154.046,3157.568,,2010,,,,,2005,-49.4906,100.9812,101.2838,,1998,,,,,1992,,,,
"Restaurant, bar or club",2015,Exponential,-921.2807,1844.561,1848.083,,2010,,,,,2005,-40.20425,82.4085,82.71108,,1998,,,,,1992,,,,
Place of worship,2015,Gamma,,,,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
Place of worship,2015,Normal,,,,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
Place of worship,2015,poisson,,,,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
Place of worship,2015,Exponential,,,,,2010,,,,,2005,,,,,1998,,,,,1992,,,,
